StudyHours,SleepHours,SocialMediaHours,ExerciseHours,PlayHours,AttendancePercentage,PreviousMarks,AttentionLevel,TestMarks
2.9,6.5,3.1,0.3,0.5,83.0,81.7,2.9,58.1
5.7,5.0,3.4,0.5,1.0,83.8,77.1,3.3,71.3
2.7,6.5,2.3,0.8,1.0,84.3,68.8,3.0,54.7
4.8,6.7,3.6,0.3,1.3,70.4,57.6,4.2,49.9
1.6,6.7,2.7,1.3,0.7,90.3,69.5,2.6,51.4
2.5,7.6,4.0,0.8,1.4,89.9,79.0,2.8,51.5
4.8,9.0,0.7,0.9,1.8,91.5,57.8,7.0,67.5
5.6,7.1,2.1,1.1,0.4,100.0,78.4,4.4,74.5
4.8,6.8,2.4,0.8,1.1,74.6,83.4,5.2,72.5
4.3,6.7,0.0,0.4,3.3,73.1,71.0,5.5,66.7
4.0,7.1,1.2,0.8,1.7,90.6,79.1,4.9,80.1
2.3,6.2,1.5,0.4,0.2,82.3,71.4,3.2,59.6
3.4,7.1,3.6,0.9,0.5,77.1,75.7,3.7,53.1
3.8,7.5,1.7,1.3,1.7,82.7,84.9,5.3,66.7
6.1,7.2,1.5,0.2,1.6,80.1,54.5,5.7,79.6
5.0,7.5,3.5,0.0,1.1,98.8,62.3,4.2,62.8
1.9,7.4,0.6,0.8,3.0,100.0,82.5,4.4,67.8
5.0,5.2,0.0,0.4,3.3,71.9,84.4,4.2,73.2
3.9,7.6,2.1,0.8,1.3,73.2,55.9,4.6,47.5
3.5,6.3,0.8,1.0,2.1,78.9,85.6,4.8,59.5
5.4,5.9,0.8,0.0,2.1,79.5,44.3,5.0,67.2
6.0,5.9,3.2,1.1,2.2,78.8,76.3,4.3,63.0
5.9,7.4,3.6,0.2,1.1,83.4,72.2,4.7,67.9
3.2,6.8,3.4,0.8,2.9,81.4,62.7,2.9,43.2
4.0,5.3,3.8,0.5,1.5,74.2,63.3,2.7,49.0
5.0,7.5,4.0,0.5,1.8,76.8,63.7,3.9,58.7
6.0,5.6,0.0,1.6,1.5,97.4,68.0,7.1,73.0
3.8,7.1,3.0,1.0,1.4,82.1,89.9,3.3,63.2
4.2,7.2,1.9,1.3,1.7,81.7,78.2,5.3,68.7
2.8,7.9,1.6,0.9,0.7,72.8,84.3,4.0,58.0
2.7,8.8,3.2,1.1,0.1,81.3,66.8,4.0,48.1
5.7,5.6,0.4,1.0,1.4,92.7,72.3,6.1,77.4
6.5,6.9,0.4,0.9,0.9,89.8,59.3,7.5,79.3
4.4,6.7,3.3,1.4,1.9,91.5,67.2,4.3,72.3
6.0,7.4,3.1,0.9,1.8,75.4,64.5,5.1,65.2
5.0,7.2,2.7,1.9,1.5,75.2,74.9,5.2,64.3
3.5,6.6,1.4,1.3,2.5,94.1,62.9,5.4,64.8
5.0,6.6,3.4,0.2,1.5,91.6,61.6,4.1,64.6
6.8,5.9,3.3,0.7,0.5,82.9,74.0,4.3,72.9
4.4,8.0,2.6,1.0,1.3,91.8,69.5,4.7,68.1
6.8,7.5,1.1,0.8,2.3,75.4,63.0,6.6,79.0
1.0,7.9,2.0,1.1,0.2,75.0,61.5,3.5,38.1
5.7,6.7,3.5,1.2,1.4,72.1,63.0,4.1,62.8
4.6,6.3,4.1,0.1,1.9,87.9,78.1,3.1,62.0
4.1,5.9,2.1,1.4,3.4,86.7,74.2,4.3,61.5
4.6,7.4,2.2,0.6,2.3,80.8,62.4,4.7,62.9
1.5,6.0,2.3,0.5,1.6,78.8,62.8,2.3,44.5
4.2,8.8,2.8,0.5,1.9,100.0,58.5,4.9,63.5
5.0,5.7,1.8,1.2,0.2,82.9,66.1,4.9,67.6
6.7,7.3,0.0,0.7,0.8,96.1,71.2,6.7,77.2
3.7,8.6,3.9,0.5,2.0,83.8,61.2,4.2,56.4
3.3,7.6,4.7,0.6,1.6,81.0,91.9,2.6,59.7
3.7,7.2,1.8,0.0,1.7,96.3,76.2,4.2,68.3
5.9,6.0,1.2,0.4,1.5,91.3,69.7,4.8,70.3
5.0,5.6,2.3,0.2,1.5,84.8,70.9,4.1,61.3
3.7,7.8,2.3,0.7,1.6,94.1,56.1,4.5,60.9
5.3,8.5,3.7,1.1,0.8,100.0,58.0,5.1,70.2
4.6,6.6,2.6,1.1,1.3,79.1,83.2,4.1,72.6
6.0,5.9,1.5,1.4,0.6,88.8,86.4,6.1,85.0
3.4,4.5,0.9,1.3,1.1,81.7,47.8,4.1,57.9
4.0,6.0,3.5,0.5,2.3,77.5,74.7,3.1,43.9
3.9,6.9,3.2,0.8,1.4,77.3,83.8,3.7,57.8
2.3,8.6,3.8,0.8,1.9,97.7,66.6,2.8,53.5
4.9,7.7,1.3,0.0,1.6,70.4,85.2,5.1,67.0
4.9,7.3,4.7,0.2,1.2,89.1,77.7,4.3,59.3
4.5,6.6,0.4,0.7,0.8,78.4,74.5,5.2,64.5
4.1,6.4,3.4,0.7,1.2,99.2,67.6,5.0,74.1
2.4,8.4,0.2,1.1,1.6,82.8,70.9,4.4,54.4
3.9,7.2,1.6,1.0,1.9,82.1,65.5,4.9,61.9
4.0,4.9,4.4,0.0,1.6,97.6,73.0,2.3,53.5
3.3,6.3,3.5,1.1,2.0,92.0,72.5,3.1,52.7
4.3,6.1,1.8,0.9,0.4,89.4,65.7,3.6,64.2
5.1,6.5,1.9,1.1,2.1,91.4,50.5,4.4,67.1
7.3,7.6,2.6,1.3,0.7,76.3,68.1,6.6,70.6
4.8,6.9,3.1,0.7,2.2,90.9,59.8,3.8,60.8
4.9,6.9,4.0,1.4,1.9,83.4,58.8,4.7,58.8
4.4,8.3,2.0,0.4,0.2,87.9,63.1,5.0,62.5
1.6,6.3,0.6,0.3,2.0,88.9,78.3,3.4,54.2
4.5,8.9,2.7,1.0,2.2,76.1,58.9,5.2,65.4
4.6,6.3,2.0,0.6,2.4,89.8,61.1,4.5,58.9
8.2,7.1,0.9,0.9,1.0,83.5,77.1,8.3,85.1
4.2,6.7,2.9,1.8,1.6,75.1,62.3,4.9,64.2
5.0,7.1,2.2,1.0,2.0,83.8,58.7,5.1,65.1
4.4,7.4,2.9,0.9,2.0,85.2,78.1,4.8,60.7
2.7,7.4,1.4,0.4,1.8,89.7,68.7,4.6,60.9
6.2,6.2,3.1,0.0,1.2,65.9,70.7,4.4,61.1
5.6,5.9,0.9,0.8,2.2,88.1,67.8,4.7,79.5
5.7,9.0,1.5,1.3,2.2,80.9,74.2,6.9,75.5
3.1,6.5,2.2,0.6,1.4,91.5,76.9,4.2,65.6
6.6,7.7,4.6,1.0,1.0,85.0,68.8,4.2,66.2
2.4,5.4,3.4,1.5,1.0,82.3,55.0,2.0,50.8
5.4,6.7,3.8,1.5,2.5,83.6,73.0,4.3,65.9
7.8,6.9,4.2,1.0,2.2,87.7,66.6,5.1,79.4
3.0,7.5,6.0,0.9,1.5,92.3,78.6,2.0,52.9
3.7,4.3,2.5,0.0,1.4,77.9,61.0,2.1,47.9
4.6,7.2,4.2,0.5,0.3,82.3,66.9,3.5,57.3
3.7,5.9,3.7,0.7,1.4,96.8,55.2,3.3,53.5
2.2,7.3,3.7,0.4,0.7,82.1,77.8,1.5,44.9
4.6,6.0,4.6,0.9,1.6,87.9,82.3,2.6,54.6
2.9,6.1,2.0,1.8,2.3,75.1,65.1,4.4,62.4
5.2,6.7,1.9,1.6,0.8,71.3,68.1,4.9,54.7
3.1,5.9,2.9,0.9,1.7,76.7,61.9,1.8,54.0
6.8,6.5,2.3,1.2,2.2,79.5,62.9,6.0,66.4
3.3,5.8,2.9,0.4,1.7,93.3,76.9,3.0,62.4
4.0,5.2,4.4,1.5,1.1,94.2,65.0,2.8,52.5
5.7,8.0,1.9,0.0,1.5,69.6,74.8,5.7,61.9
2.7,5.7,2.1,1.3,2.2,80.7,69.8,3.8,61.4
4.8,6.8,2.7,1.0,1.7,90.6,77.5,4.2,56.0
6.5,7.8,2.2,0.4,1.5,84.2,66.1,5.9,77.9
2.1,6.4,0.2,0.7,2.3,97.0,80.9,3.7,65.3
4.8,6.2,1.8,0.2,1.9,90.4,88.8,4.8,79.7
4.9,7.2,3.3,0.3,0.7,82.9,53.0,4.6,61.8
5.7,8.1,4.2,0.0,1.9,83.6,69.1,4.7,67.9
2.6,5.8,1.1,1.2,2.2,84.5,69.1,4.8,65.4
2.5,6.8,1.1,1.4,0.6,78.2,62.8,4.4,60.2
5.3,5.3,2.5,0.0,0.0,92.5,74.1,4.6,72.6
4.9,6.6,0.0,1.7,0.8,90.9,81.2,5.7,76.9
4.9,7.0,2.0,0.8,1.4,88.6,50.3,4.6,60.8
5.0,6.1,0.4,0.9,2.2,86.9,49.5,6.5,70.2
3.5,6.5,4.1,0.1,0.9,76.9,86.6,2.0,52.7
4.8,5.6,1.6,1.5,1.9,89.0,67.6,5.2,80.2
4.9,7.1,4.5,0.9,0.0,86.0,70.9,4.5,61.8
3.4,8.1,3.8,1.4,1.6,100.0,59.3,4.4,52.3
7.3,5.9,1.7,1.4,1.2,74.7,70.4,5.5,75.0
5.2,6.4,1.2,1.5,3.0,79.2,83.7,5.3,69.9
2.7,7.5,2.3,0.5,0.2,72.3,75.0,3.9,65.2
5.5,8.2,2.4,0.7,1.5,83.3,71.9,6.0,72.2
3.0,5.5,2.9,0.5,0.2,71.1,52.3,2.7,48.2
5.7,6.8,1.6,1.2,1.1,94.5,77.4,5.4,79.6
6.2,7.3,3.4,1.0,0.3,93.7,70.1,5.1,77.0
3.3,6.9,2.8,1.3,3.1,83.7,63.9,3.4,55.6
5.9,4.5,2.1,1.4,1.3,76.9,76.4,4.1,67.1
5.1,7.5,1.6,0.0,1.4,72.8,61.5,5.1,64.3
5.7,8.5,2.3,1.5,1.5,79.4,75.6,7.1,69.6
7.3,7.1,1.5,1.3,0.7,90.0,82.2,6.7,85.9
4.1,6.0,2.6,0.6,2.2,78.7,71.5,3.0,67.0
3.4,6.5,2.6,1.0,1.9,100.0,65.8,3.4,63.6
3.2,8.8,2.8,0.7,2.1,96.9,64.3,5.1,61.2
3.3,7.9,4.6,1.1,0.6,85.0,73.8,2.4,61.6
4.4,7.6,2.3,0.6,2.3,81.3,65.7,4.7,59.4
5.0,7.4,3.7,1.0,2.2,80.4,93.7,4.8,72.0
4.9,6.3,2.8,0.8,1.3,97.8,55.8,3.8,60.8
5.7,6.8,2.2,0.6,2.1,79.7,68.7,5.3,68.5
4.5,6.9,2.4,0.9,1.7,92.5,72.7,4.1,68.3
6.7,7.5,2.4,2.2,0.4,85.2,71.5,5.8,78.8
4.1,8.5,2.8,0.5,1.4,90.7,64.4,4.9,61.9
8.6,8.1,1.3,0.7,1.2,78.4,82.3,8.8,89.5
5.4,5.6,0.7,0.5,1.6,82.3,76.7,5.1,83.0
3.2,7.2,3.3,0.5,2.2,84.8,77.4,3.6,58.7
2.9,7.7,3.6,1.2,0.4,79.9,63.3,3.6,45.9
5.2,7.6,3.4,1.2,1.2,95.0,66.0,4.9,62.2
4.2,6.4,2.7,0.8,0.9,78.9,74.9,3.6,70.3
5.6,9.0,3.4,1.3,1.0,80.4,59.0,5.1,75.6
5.2,5.7,3.4,1.2,0.9,95.9,76.7,3.7,69.4
4.4,5.9,3.4,0.7,1.5,94.3,69.0,3.4,58.2
3.2,7.2,1.5,0.0,1.9,97.7,80.6,3.9,68.4
2.2,9.0,1.2,1.2,1.7,69.7,65.7,4.1,51.4
3.8,6.2,2.0,0.9,1.6,86.6,88.1,3.9,70.1
5.8,6.7,2.5,0.8,1.9,85.7,74.1,4.9,72.8
4.8,8.1,2.2,0.6,3.2,80.5,75.2,5.5,68.6
2.6,7.0,0.2,1.2,1.6,87.6,63.1,4.4,60.1
4.8,6.7,4.6,1.0,2.2,82.4,72.5,4.0,58.7
5.1,7.6,2.2,0.7,2.2,86.3,64.5,5.3,72.4
3.2,7.3,2.7,0.2,2.7,100.0,54.6,3.3,54.3
4.7,8.0,4.0,1.3,1.9,87.5,68.0,4.4,72.1
4.6,8.3,0.0,1.1,0.9,87.9,81.6,6.3,89.1
2.8,7.3,1.9,0.9,1.7,91.6,69.4,4.0,57.8
5.0,7.3,2.0,0.0,1.7,86.4,67.1,5.1,66.2
5.3,7.2,2.1,0.8,2.1,76.2,66.9,5.1,66.0
6.1,7.5,2.3,0.7,0.9,71.8,92.4,5.6,73.3
6.1,7.1,4.2,0.5,2.4,84.8,76.1,4.6,72.5
2.4,7.0,3.3,1.2,1.5,82.8,54.1,1.5,48.5
3.1,8.2,3.6,1.2,2.1,69.3,64.6,3.9,56.5
5.3,8.5,2.6,1.0,1.7,98.0,66.0,5.1,69.4
5.3,5.5,0.8,1.3,1.6,85.9,62.8,5.2,69.0
5.3,7.0,0.0,0.3,1.7,96.5,70.6,5.7,68.1
10.0,6.3,0.7,0.6,2.0,67.1,64.3,8.7,88.3
5.4,6.7,2.9,0.8,2.9,96.7,64.9,5.2,64.8
6.2,7.4,2.5,0.5,0.1,81.1,71.5,5.5,66.6
5.9,7.7,2.2,1.2,1.9,95.1,54.6,5.8,68.5
5.5,6.9,2.1,0.5,1.5,86.7,48.5,5.2,62.6
4.0,5.1,4.9,1.4,1.4,88.6,82.4,2.4,57.1
5.6,6.0,1.5,0.3,0.0,88.6,78.4,5.6,83.3
3.3,7.9,3.6,1.9,1.9,81.6,73.7,5.4,66.4
4.1,4.3,2.5,1.8,1.4,79.8,73.0,3.4,54.2
3.8,8.2,2.4,0.8,0.9,82.1,68.1,4.8,63.5
4.6,7.5,3.9,1.4,1.5,73.2,95.0,3.8,60.7
8.0,8.3,4.3,0.6,1.3,81.2,71.9,5.8,76.5
1.7,6.8,2.2,1.3,0.3,79.4,95.0,2.5,62.7
5.5,4.9,3.5,0.7,1.6,73.0,90.6,4.4,66.6
2.1,7.4,2.9,0.2,1.9,88.7,74.6,3.2,48.9
3.8,8.3,2.5,0.0,1.1,85.1,67.9,4.1,60.5
6.1,7.9,2.7,0.7,1.7,87.0,70.2,5.8,79.8
4.6,6.3,1.7,0.9,1.6,90.6,66.0,5.1,78.0
2.9,7.1,2.1,1.5,2.2,83.1,74.6,4.5,57.2
3.4,6.5,1.8,0.8,1.4,77.5,76.7,4.2,61.9
5.5,6.2,3.6,1.3,2.1,87.4,57.8,4.4,63.8
3.4,8.0,2.4,0.6,1.3,61.6,95.0,4.9,56.1
4.8,5.8,0.9,0.6,2.9,84.1,62.2,4.4,58.3
4.6,6.1,1.6,1.3,1.2,91.1,43.1,3.8,59.6
3.5,5.9,0.0,0.0,1.0,93.4,69.2,5.1,67.3
7.7,5.5,1.9,0.8,1.4,80.8,58.5,5.9,68.7
5.5,7.1,2.5,0.6,1.0,67.1,69.5,5.7,69.3
1.5,8.2,2.3,1.5,0.6,63.9,70.7,4.4,48.9
4.8,6.8,4.9,0.5,2.0,90.1,74.5,4.2,62.5
3.5,5.5,3.2,1.1,0.0,82.2,80.1,1.5,48.8
5.8,7.8,3.1,1.3,1.0,100.0,59.9,5.8,62.9
3.3,8.7,0.5,0.1,0.6,73.7,66.4,5.0,58.3
4.3,6.4,2.1,0.7,1.6,87.7,76.8,4.0,66.2
5.3,6.5,1.9,0.6,0.0,98.3,63.4,5.2,67.5
5.8,7.5,1.6,1.3,1.9,86.7,51.2,5.8,63.2
2.7,8.6,1.5,1.1,2.0,72.3,76.2,5.0,58.0
4.0,6.5,0.3,0.7,0.4,100.0,64.3,5.7,72.0
3.8,5.7,1.0,0.3,1.6,97.6,63.7,4.0,72.0
3.5,7.6,3.5,1.3,1.9,83.2,71.2,4.0,58.0
7.1,7.8,2.3,0.8,2.2,91.6,70.0,6.2,72.5
5.1,7.0,1.9,0.0,0.5,91.6,80.0,5.2,63.8
2.6,6.4,2.5,0.0,0.4,90.1,57.5,3.6,40.7
5.9,8.0,3.9,1.0,2.6,73.9,92.6,5.3,73.9
7.7,7.5,2.5,0.2,0.9,87.6,55.9,6.4,71.2
6.0,6.2,3.1,1.7,1.1,96.7,66.1,5.7,75.7
2.2,7.0,1.5,0.3,1.9,89.0,61.3,3.3,59.6
3.8,5.6,1.8,0.8,0.7,88.2,70.6,3.7,65.1
6.4,7.7,2.9,0.9,1.3,80.7,70.2,5.4,70.1
3.4,6.7,4.8,0.4,2.1,77.8,71.7,1.7,57.0
5.2,6.6,4.2,0.0,0.5,72.4,72.6,3.2,55.2
5.7,7.0,3.2,0.9,1.1,91.1,83.1,4.9,68.8
3.1,7.0,2.7,0.4,0.7,83.2,71.6,3.6,58.4
4.4,7.9,4.2,0.9,1.0,74.3,83.9,3.5,63.4
1.0,7.6,3.5,0.7,2.3,92.8,52.5,1.9,27.3
3.0,6.8,0.0,0.9,2.5,80.3,48.2,3.8,60.1
4.1,7.8,1.2,1.6,1.7,78.1,71.3,6.5,61.1
2.6,7.4,2.9,0.5,1.9,81.0,73.3,4.0,45.3
6.9,6.6,0.4,0.6,1.9,83.5,64.7,6.4,78.2
2.4,6.9,1.4,0.0,1.0,88.7,69.9,3.5,52.0
3.8,6.9,1.7,0.7,1.7,78.0,80.8,4.0,65.9
4.7,7.5,2.2,1.0,0.6,93.1,76.7,5.5,74.0
6.7,6.6,2.2,0.6,0.8,88.9,66.7,6.1,77.9
2.3,6.6,2.2,1.0,1.4,80.9,72.0,2.6,58.4
6.2,9.0,3.5,0.7,0.8,83.7,77.6,5.3,70.8
4.5,7.9,2.2,0.1,0.6,81.6,57.7,4.8,63.0
3.0,6.2,2.0,1.0,1.0,85.5,62.0,4.3,48.8
5.2,7.6,0.9,0.7,2.3,97.2,79.2,5.7,83.6
4.8,7.1,3.7,0.9,2.6,81.5,52.7,4.8,55.0
3.6,7.4,1.7,0.5,1.5,86.5,59.1,4.6,58.6
4.6,7.1,1.2,0.5,1.9,79.4,57.9,4.7,61.1
3.9,8.2,2.8,0.9,1.1,89.3,79.2,4.3,64.5
4.7,7.3,1.6,0.7,0.1,87.2,59.2,5.5,64.6
5.5,6.9,1.9,1.7,0.9,95.6,77.9,6.1,67.1
6.9,8.0,2.8,1.2,1.3,78.4,66.5,6.8,81.1
2.6,7.2,2.1,1.1,1.6,90.5,87.8,3.9,60.4
7.7,7.1,5.3,0.7,1.4,95.1,71.3,5.3,72.9
1.6,7.3,2.4,0.0,1.3,81.5,80.7,3.8,53.8
4.3,6.9,3.2,0.4,1.1,84.0,74.6,5.0,67.0
5.4,7.0,0.2,0.5,1.7,86.5,65.5,6.1,72.6
4.9,6.4,1.5,0.7,0.5,83.1,69.9,4.1,71.6
3.6,6.2,1.2,0.8,2.1,86.4,70.1,4.3,72.9
4.2,6.0,1.4,1.1,1.1,90.4,65.4,4.6,73.9
3.8,5.6,3.0,0.9,2.9,84.1,78.9,2.6,59.7
3.6,6.1,3.7,1.4,1.3,84.0,95.0,3.2,59.9
5.8,6.8,2.9,0.6,1.2,87.1,71.2,4.4,65.5
5.0,7.1,2.2,0.9,1.1,81.8,77.2,5.2,68.0
3.5,6.7,1.7,1.0,1.2,82.2,75.3,4.5,58.7
5.8,4.6,3.8,0.9,1.9,77.8,43.9,4.0,57.5
5.0,8.6,5.0,1.4,1.5,84.7,74.9,4.8,62.0
5.7,8.1,2.7,1.2,2.2,88.6,74.4,5.9,73.9
5.4,7.4,3.6,0.1,1.8,82.8,57.5,4.9,60.4
3.3,8.9,2.9,0.7,1.5,78.8,52.1,4.9,55.5
3.7,6.0,3.4,0.8,1.8,84.2,74.3,2.9,57.9
5.6,8.9,1.1,1.9,2.3,88.2,86.5,6.9,80.8
5.4,6.0,1.9,0.6,2.0,86.0,66.3,4.7,67.6
4.5,7.2,3.0,0.3,1.7,100.0,66.7,3.8,63.5
4.7,5.7,4.0,1.0,1.8,79.7,93.1,3.3,67.9
6.4,7.0,1.5,1.0,0.7,83.8,79.0,6.6,76.7
3.6,7.4,0.1,0.8,3.3,91.2,57.9,5.7,64.6
5.3,6.8,1.9,0.7,1.9,79.4,62.9,4.3,54.9
4.2,7.7,3.7,1.3,1.9,100.0,91.8,5.0,66.9
4.2,7.1,0.6,0.4,1.5,85.0,63.4,5.6,66.4
6.1,6.5,1.1,0.6,0.0,89.5,64.7,6.0,74.0
5.7,6.4,2.7,0.5,1.3,85.2,76.7,4.1,59.6
5.7,7.8,2.4,1.3,1.6,93.1,67.4,5.2,74.4
6.5,6.3,3.2,0.9,0.9,76.5,74.4,5.8,67.8
4.5,7.9,1.0,0.3,0.9,97.6,72.9,6.0,66.9
5.5,8.2,2.1,0.3,1.3,86.9,68.5,6.2,74.7
4.0,5.3,3.9,1.7,2.0,90.3,82.1,3.0,65.2
5.0,8.1,1.1,1.3,2.4,79.1,57.2,6.8,57.0
4.3,9.0,4.3,1.2,1.6,87.7,71.2,3.7,62.5
4.6,7.3,1.2,0.8,1.1,77.3,64.2,4.7,63.1
5.4,7.6,3.5,1.6,1.2,94.4,86.4,5.5,73.8
3.3,8.0,2.1,0.2,1.6,74.7,68.3,3.8,50.3
7.6,6.7,1.1,1.2,1.7,86.2,89.2,7.0,89.6
3.0,7.2,1.9,0.6,1.8,81.9,65.8,3.0,53.9
2.7,5.7,3.2,0.7,1.2,72.5,71.1,1.1,56.5
6.2,7.1,2.5,1.2,1.9,77.5,80.9,5.2,76.1
5.7,7.5,3.8,0.7,1.8,88.6,60.4,4.5,63.8
5.4,7.5,4.2,0.6,1.2,77.8,85.1,3.9,71.1
5.4,8.1,1.1,0.6,0.3,79.6,70.3,6.4,78.4
4.5,6.2,1.0,0.0,0.9,88.0,74.1,5.2,63.6
3.2,6.5,0.9,1.2,2.6,92.3,75.5,4.7,69.9
4.6,8.9,1.4,0.3,0.3,90.3,69.2,5.1,70.0
3.5,6.8,3.8,1.7,2.4,84.6,61.9,3.7,50.0
6.0,7.2,3.2,0.7,0.3,86.7,70.9,4.5,63.5
4.3,6.9,1.8,1.5,1.0,85.9,49.9,5.8,61.5
3.3,6.2,2.5,0.0,1.2,76.7,56.9,3.2,50.7
4.0,8.6,4.2,1.2,2.7,87.2,68.6,3.7,63.0
5.1,6.5,4.8,1.3,1.5,76.6,85.5,3.7,51.1
3.7,5.9,2.8,1.5,1.4,89.9,85.2,3.7,58.0
3.3,6.5,0.0,0.0,0.8,86.1,79.8,4.9,70.2
4.9,5.0,2.9,0.4,1.9,67.7,54.6,2.7,50.6
4.9,6.3,3.6,1.1,1.1,92.8,73.0,3.6,64.5
3.7,6.0,2.8,0.9,1.3,80.8,61.4,3.8,53.3
3.8,7.6,3.4,0.9,1.2,80.2,69.3,4.3,59.4
4.8,6.3,2.9,0.6,2.0,92.6,79.5,5.8,64.7
2.3,7.9,1.0,1.6,2.0,83.7,76.6,5.2,73.5
2.4,8.4,1.4,2.1,0.9,89.8,82.8,4.4,65.8
3.4,7.8,2.1,0.9,1.1,79.8,55.9,5.3,59.9
4.2,6.8,3.8,1.0,1.0,91.4,59.8,3.9,52.4
5.0,7.1,1.6,0.8,1.6,86.6,85.1,6.0,73.4
6.7,5.5,3.0,1.4,2.1,88.2,85.2,5.4,81.0
5.8,6.9,2.9,1.2,1.6,83.6,69.8,5.9,69.3
4.3,6.1,4.4,0.3,0.0,98.0,69.8,3.4,61.5
4.5,7.7,2.4,0.5,2.0,100.0,81.7,5.0,68.8
3.0,9.0,0.4,0.3,0.6,67.4,75.3,5.1,55.1
4.5,7.5,3.3,2.1,1.0,92.4,76.1,4.5,71.7
4.1,5.0,5.1,1.1,1.6,76.4,60.8,1.8,41.4
5.0,6.6,3.4,0.5,1.4,89.1,81.5,4.1,72.2
3.3,7.1,1.6,0.5,2.1,70.8,68.0,4.7,54.0
5.3,7.1,1.2,1.2,1.1,88.2,56.1,6.1,69.3
6.8,6.3,1.4,1.3,0.8,78.3,62.2,5.9,72.1
4.3,7.2,4.9,1.2,1.3,81.3,64.0,3.9,53.6
5.1,5.8,2.1,0.6,2.2,81.5,84.8,3.9,73.0
5.5,6.1,1.7,1.0,1.9,79.1,63.0,5.3,76.2
3.9,7.6,2.3,0.9,1.6,79.3,73.8,5.2,63.0
4.8,6.0,2.1,0.3,2.4,81.8,48.9,3.7,57.8
4.5,7.5,4.4,0.3,2.3,83.8,79.4,3.7,59.8
4.6,5.6,1.3,1.0,2.1,87.6,62.1,4.4,65.5
3.3,8.8,3.9,0.9,0.7,99.9,73.9,4.6,59.0
4.5,6.2,2.6,1.1,2.0,77.4,73.9,5.3,60.3
5.2,6.8,3.9,1.2,1.4,86.0,76.3,4.5,67.8
6.7,7.3,4.4,1.5,1.2,91.2,73.3,5.6,74.6
5.9,6.4,2.6,0.4,1.0,79.3,89.1,5.6,81.9
7.7,7.1,2.1,1.1,1.4,66.9,72.1,7.2,79.3
3.3,7.6,2.6,1.2,1.1,69.7,92.5,3.7,60.7
5.8,8.0,2.4,0.6,1.6,67.2,76.4,5.4,71.5
4.8,7.8,0.5,0.9,1.4,97.3,72.7,5.8,81.2
7.8,6.8,4.4,0.7,1.7,89.9,78.9,4.6,75.3
3.3,6.9,2.8,1.9,1.9,91.0,72.0,4.4,48.3
3.2,9.0,1.1,0.9,1.3,92.9,74.5,4.6,61.0
3.6,7.9,0.0,1.0,1.0,80.4,73.5,6.1,75.2
1.3,6.1,0.0,0.7,0.1,100.0,72.5,3.1,67.5
3.7,7.1,3.4,0.6,2.0,87.7,91.2,3.4,70.6
3.4,6.7,1.8,0.1,1.6,84.4,92.7,4.1,65.3
